Title,Date
"Better Call Saul: Seizoen 5: Something Unforgivable","17-08-20"
"Better Call Saul: Seizoen 5: Bad Choice Road","17-08-20"
"Better Call Saul: Seizoen 5: Bagman","12-08-20"
"Better Call Saul: Seizoen 5: JMM","12-08-20"
"Better Call Saul: Seizoen 5: Wexler v. Goodman","10-08-20"
"South Park: Seizoen 17: Taming Strange","09-08-20"
"South Park: Seizoen 17: Goth Kids 3: Dawn of the Posers","05-08-20"
"Better Call Saul: Seizoen 5: Dedicado A Max","05-08-20"
"Better Call Saul: Seizoen 5: Namaste","04-08-20"
"Better Call Saul: Seizoen 5: The Guy For This","03-08-20"
"Better Call Saul: Seizoen 5: 50% Off","03-08-20"
"Better Call Saul: Seizoen 5: Magic Man","02-08-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 4","27-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 3","27-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 25","22-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 24","21-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 23","21-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 22","21-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 21","21-07-20"
"Code Geass: Lelouch of the Rebellion: Seizoen 1: Aflevering 20","21-07-20"
"Better Call Saul: Seizoen 4: Winner","15-07-20"
"Better Call Saul: Seizoen 4: Wiedersehen","13-07-20"
"Better Call Saul: Seizoen 4: Coushatta","12-07-20"
"Better Call Saul: Seizoen 4: Something Stupid","11-07-20"
"Better Call Saul: Seizoen 4: Piñata","07-07-20"
"Better Call Saul: Seizoen 4: Quite a Ride","07-07-20"
"Better Call Saul: Seizoen 4: Talk","04-07-20"
"Better Call Saul: Seizoen 4: Something Beautiful","04-07-20"
"Better Call Saul: Seizoen 4: Breathe","02-07-20"
"Better Call Saul: Seizoen 4: Smoke","02-07-20"
"Better Call Saul: Seizoen 3: Lantern","30-06-20"
"Better Call Saul: Seizoen 3: Fall","30-06-20"
"Better Call Saul: Seizoen 3: Slip","30-06-20"
"Better Call Saul: Seizoen 3: Expenses","29-06-20"
"Better Call Saul: Seizoen 3: Off Brand","28-06-20"
"Better Call Saul: Seizoen 3: Chicanery","28-06-20"
"Better Call Saul: Seizoen 3: Sabrosito","28-06-20"
"Better Call Saul: Seizoen 3: Sunk Costs","27-06-20"
"Better Call Saul: Seizoen 3: Witness","25-06-20"
"Better Call Saul: Seizoen 3: Mabel","24-06-20"
"Better Call Saul: Seizoen 2: Klick","24-06-20"
